timestamp,stage,profile,run_id,attempt,job_id,state,git_commit,config_hash,run_dir,elapsed,exit_code,notes
2026-08-27T10:32:06Z,source,s0,pendscore__source34k__s7,1,4632,COMPLETED,856f87896db78e9977c441c35e6d1829c3bb0f4d,0bdd02caf67c1fc95ee0efac5b07ee92f315ee81612f8965eba8abdf1cfe5bb8,outputs/pendulum_score_screen/pendscore__source34k__s7/attempt_1,00:15:16,0:0,"RUN_VALID; finite metrics; full 34k agent/buffer_state/global_step/horizon_state checkpoint; archived 32k decision agrees at selected/proposed h=2; pre-34k eval-return MAE 5.32 and max 16.5; archived 34k return is intentionally delay-4 while source is clean"
2026-08-27T10:43:11Z,smoke,s3,pendscore__smoke_s3__s7,1,4633,SUBMITTED,856f87896db78e9977c441c35e6d1829c3bb0f4d,5d46e087fbec8d6116bc28d15dfe00556107c30966415f40e6ab1806e10a6bf4,outputs/pendulum_score_screen/pendscore__smoke_s3__s7/attempt_1,,,"Single frozen compressed 0->2->6->4->0 GPU/EGL smoke"
2026-08-27T10:57:15Z,smoke,s3,pendscore__smoke_s3__s7,1,4633,FAILED,856f87896db78e9977c441c35e6d1829c3bb0f4d,5d46e087fbec8d6116bc28d15dfe00556107c30966415f40e6ab1806e10a6bf4,outputs/pendulum_score_screen/pendscore__smoke_s3__s7/attempt_1,00:12:04,1:0,"Deterministic validation failure: only query 34400 was emitted. Restored horizon_state retained the source 4000-step query_interval although next_query_step was reset for the 400-step smoke protocol. Training, terminal checkpoint, six trajectory trios, and EGL GIF/PNG rendering completed."
2026-09-02T08:00:58Z,smoke,s3,pendscore__smoke_s3__s7,2,4822,SUBMITTED,76392f183edf296a4265ea35e506778de46fcc8c,5d46e087fbec8d6116bc28d15dfe00556107c30966415f40e6ab1806e10a6bf4,outputs/pendulum_score_screen/pendscore__smoke_s3__s7/attempt_2,,,"Corrected frozen S3 compressed 0->2->6->4->0 GPU/EGL smoke after the 51-test repair gate passed."
2026-09-02T08:12:41Z,smoke,s3,pendscore__smoke_s3__s7,2,4822,FAILED,76392f183edf296a4265ea35e506778de46fcc8c,5d46e087fbec8d6116bc28d15dfe00556107c30966415f40e6ab1806e10a6bf4,outputs/pendulum_score_screen/pendscore__smoke_s3__s7/attempt_2,00:10:53,1:0,"Deterministic validation failure: repaired cadence emitted 34400, 34800, 35200, and 35600, but the boundary query guard excluded global_step == max_steps and therefore omitted the required terminal 36000 decision. Training, terminal checkpoint, six trajectory trios, and EGL GIF/PNG rendering completed."
2026-09-02T08:15:11Z,smoke,s3,pendscore__smoke_s3__s7,3,4823,SUBMITTED,7c1ad1868dac28a4d60c248f5d6dbd00cdc82ed4,5d46e087fbec8d6116bc28d15dfe00556107c30966415f40e6ab1806e10a6bf4,outputs/pendulum_score_screen/pendscore__smoke_s3__s7/attempt_3,,,"Fresh frozen S3 compressed GPU/EGL smoke after the 52-test terminal-query repair gate passed."
2026-09-02T08:28:40Z,smoke,s3,pendscore__smoke_s3__s7,3,4823,COMPLETED,7c1ad1868dac28a4d60c248f5d6dbd00cdc82ed4,5d46e087fbec8d6116bc28d15dfe00556107c30966415f40e6ab1806e10a6bf4,outputs/pendulum_score_screen/pendscore__smoke_s3__s7/attempt_3,00:11:05,0:0,"RUN_VALID; exact queries 34400,34800,35200,35600,36000; five finite evaluations; complete 36k agent/buffer_state/global_step/horizon_state checkpoint; 18 d=0/4/6 trajectories; six EGL GIF/PNG pairs."
2026-09-02T08:30:33Z,full,s0,pendscore__s0_current_additive__s7,1,4824,SUBMITTED,7c1ad1868dac28a4d60c248f5d6dbd00cdc82ed4,f48bee8faf71db05a025cfbf591ca195be7cccfb88237e4cfd2948d6400c3979,outputs/pendulum_score_screen/pendscore__s0_current_additive__s7/attempt_1,,,"Frozen current-additive arm from the validated common 34k source."
2026-09-02T08:30:57Z,full,s1,pendscore__s1_local_roughness__s7,1,4825,SUBMITTED,7c1ad1868dac28a4d60c248f5d6dbd00cdc82ed4,2a2dc1e98b4aa01220c5cf71614ff341229f78d0beb5da08f93b381b2985259f,outputs/pendulum_score_screen/pendscore__s1_local_roughness__s7/attempt_1,,,"Frozen calibrated-local-roughness arm from the validated common 34k source."
2026-09-02T08:31:21Z,full,s2,pendscore__s2_return_first__s7,1,4826,SUBMITTED,7c1ad1868dac28a4d60c248f5d6dbd00cdc82ed4,f55c21059525ae2cb28085aeb0a96c456d6c1cb708f62aae142c6a6234e811ac,outputs/pendulum_score_screen/pendscore__s2_return_first__s7/attempt_1,,,"Frozen return-first arm from the validated common 34k source."
